昵称,性别,聊天内容,时间戳,商品,类别,主播
选***,1,[赞][赞][赞][赞][赞][赞][赞][赞],1679540981,蓝莓浆/蔓越浆,饮品,顿顿
落***,2,今天还带上牌子了,1679540981,蓝莓浆/蔓越浆,饮品,顿顿
宅***,0,@四*** 今天没有笋,1679540982,蓝莓浆/蔓越浆,饮品,顿顿
老***,0,一斤4盒，二斤8盆。,1679540983,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,我来啦,1679540984,蓝莓浆/蔓越浆,饮品,顿顿
丫***,2,🈶️苹果吗,1679540986,蓝莓浆/蔓越浆,饮品,顿顿
爱***,0,酸的过瘾,1679540988,蓝莓浆/蔓越浆,饮品,顿顿
心***,2,需要蜂蜜配蓝莓原浆啊,1679540990,蓝莓浆/蔓越浆,饮品,顿顿
一***,2,明火慢顿25号要双播啦[舔屏][舔屏][舔屏][舔屏],1679540994,蓝莓浆/蔓越浆,饮品,顿顿
四***,0,顿顿广州见面会,1679540997,蓝莓浆/蔓越浆,饮品,顿顿
J***,0,哪个更酸？,1679540997,蓝莓浆/蔓越浆,饮品,顿顿
蓝***,0,蔓越莓好喝点,1679540998,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,顿顿，去广东怎么见你？,1679540999,蓝莓浆/蔓越浆,饮品,顿顿
选***,1,中午好,1679540999,蓝莓浆/蔓越浆,饮品,顿顿
修***,0,我当然直接喝,1679541002,蓝莓浆/蔓越浆,饮品,顿顿
🍀***,2,我喜欢喝[呲牙][呲牙],1679541003,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679541005,蓝莓浆/蔓越浆,饮品,顿顿
安***,2,两款我都是直接喝,1679541007,蓝莓浆/蔓越浆,饮品,顿顿
宁***,2,好吃好吃好吃好吃,1679541007,蓝莓浆/蔓越浆,饮品,顿顿
哈***,0,哈哈哈 我是勇士。都是直接喝的[看][看][看],1679541007,蓝莓浆/蔓越浆,饮品,顿顿
宅***,0,俺都是直接喝不觉得酸但是好苦,1679541008,蓝莓浆/蔓越浆,饮品,顿顿
陈***,1,我喝了不计其数了,1679541008,蓝莓浆/蔓越浆,饮品,顿顿
是***,2,顿顿[比心],1679541008,蓝莓浆/蔓越浆,饮品,顿顿
柒***,2,孕妇可以喝吗,1679541008,蓝莓浆/蔓越浆,饮品,顿顿
熊***,2,你炫一瓶,1679541011,蓝莓浆/蔓越浆,饮品,顿顿
是***,2,哈哈哈哈能把顿顿酸到跺脚的,1679541013,蓝莓浆/蔓越浆,饮品,顿顿
啊***,1,加蜂蜜也好喝,1679541013,蓝莓浆/蔓越浆,饮品,顿顿
婷***,0,我都是直接喝[捂脸],1679541013,蓝莓浆/蔓越浆,饮品,顿顿
早***,2,芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？,1679541013,蓝莓浆/蔓越浆,饮品,顿顿
雨***,2,很喜欢单独喝蔓越莓原浆的味道,1679541015,蓝莓浆/蔓越浆,饮品,顿顿
尘***,2,顿顿好,1679541015,蓝莓浆/蔓越浆,饮品,顿顿
茜***,2,我直接喝的,1679541015,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679541015,蓝莓浆/蔓越浆,饮品,顿顿
周***,2,[比心],1679541015,蓝莓浆/蔓越浆,饮品,顿顿
蓝***,0,我就直接喝,1679541016,蓝莓浆/蔓越浆,饮品,顿顿
c***,2,啥时候有乳胶枕？,1679541017,蓝莓浆/蔓越浆,饮品,顿顿
幸***,0,不普通的人能喝吗？,1679541017,蓝莓浆/蔓越浆,饮品,顿顿
💜***,2,我就直接喝 很好喝[捂脸][捂脸][捂脸],1679541017,蓝莓浆/蔓越浆,饮品,顿顿
早***,2,芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？,1679541018,蓝莓浆/蔓越浆,饮品,顿顿
就***,2,都是直接喝的,1679541018,蓝莓浆/蔓越浆,饮品,顿顿
翔***,0,佩服我吧，我直接喝。,1679541020,蓝莓浆/蔓越浆,饮品,顿顿
素***,0,25号双插，愿意看顿明直播。,1679541023,蓝莓浆/蔓越浆,饮品,顿顿
蝴***,2,我都是一口喝，就喜欢这种酸爽,1679541023,蓝莓浆/蔓越浆,饮品,顿顿
柒***,2,孕妇可以喝吗,1679541024,蓝莓浆/蔓越浆,饮品,顿顿
早***,2,芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？,1679541024,蓝莓浆/蔓越浆,饮品,顿顿
清***,0,顿顿[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679541026,蓝莓浆/蔓越浆,饮品,顿顿
S***,2,顿顿，广州那里可以抓到你,1679541026,蓝莓浆/蔓越浆,饮品,顿顿
早***,2,芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？,1679541028,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,@早*** 产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679541028,蓝莓浆/蔓越浆,饮品,顿顿
天***,2,刚刚来，昨晚居然梦到顿顿[捂脸][捂脸],1679541029,蓝莓浆/蔓越浆,饮品,顿顿
啊***,1,顿顿穿啥都好看,1679541031,蓝莓浆/蔓越浆,饮品,顿顿
✨***,0,哇,1679541032,蓝莓浆/蔓越浆,饮品,顿顿
雨***,2,很喜欢单独喝蔓越莓原浆的味道，越品越好,1679541032,蓝莓浆/蔓越浆,饮品,顿顿
S***,2,顿顿，广州那里可以抓到你,1679541032,蓝莓浆/蔓越浆,饮品,顿顿
早***,2,芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？芝麻丸有多少颗？,1679541032,蓝莓浆/蔓越浆,饮品,顿顿
宅***,0,不怎么酸非常苦,1679541034,蓝莓浆/蔓越浆,饮品,顿顿
菏***,2,板栗,1679541034,蓝莓浆/蔓越浆,饮品,顿顿
V***,2,我配着酸奶喝,1679541034,蓝莓浆/蔓越浆,饮品,顿顿
安***,2,好久没来看,1679541035,蓝莓浆/蔓越浆,饮品,顿顿
丫***,2,芝麻丸有多少颗,1679541037,蓝莓浆/蔓越浆,饮品,顿顿
是***,2,直接喝老爽了,1679541038,蓝莓浆/蔓越浆,饮品,顿顿
那***,1,孕妇应该喜欢喝,1679541039,蓝莓浆/蔓越浆,饮品,顿顿
J***,0,哪个更酸？,1679541039,蓝莓浆/蔓越浆,饮品,顿顿
S***,2,顿顿，广州那里可以抓到你,1679541041,蓝莓浆/蔓越浆,饮品,顿顿
🌞***,2,金风玉露一相逢，便胜却人间无数,1679541042,蓝莓浆/蔓越浆,饮品,顿顿
随***,2,酸奶可以上链接了,1679541042,蓝莓浆/蔓越浆,饮品,顿顿
爱***,0,哈哈哈顿顿提到蓝莓原浆都开始流口水了,1679541044,蓝莓浆/蔓越浆,饮品,顿顿
福***,0,果然降温了,1679541044,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,@早*** 产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679541044,蓝莓浆/蔓越浆,饮品,顿顿
素***,0,[比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],1679541046,蓝莓浆/蔓越浆,饮品,顿顿
一***,0,[玫瑰],1679541047,蓝莓浆/蔓越浆,饮品,顿顿
珍***,0,[比心][比心][比心][比心][比心][比心],1679541049,蓝莓浆/蔓越浆,饮品,顿顿
丫***,2,很久没看到懂哥了,1679541049,蓝莓浆/蔓越浆,饮品,顿顿
善***,0,顿顿中午好,1679541050,蓝莓浆/蔓越浆,饮品,顿顿
媛***,2,大才子一枚,1679541050,蓝莓浆/蔓越浆,饮品,顿顿
嘟***,0,巨巨巨巨配,1679541053,蓝莓浆/蔓越浆,饮品,顿顿
浅***,0,榴莲好吃吗？,1679541054,蓝莓浆/蔓越浆,饮品,顿顿
口***,2,纤云弄巧，飞星传恨，银汉迢迢暗度。金风玉露一相逢，便胜却、人间无数。柔情似水，佳期如梦，忍顾鹊桥归路,1679541054,蓝莓浆/蔓越浆,饮品,顿顿
满***,2,顿顿,1679541057,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,直接喝非常爽,1679541059,蓝莓浆/蔓越浆,饮品,顿顿
C***,0,今天没有凤梨吗,1679541059,蓝莓浆/蔓越浆,饮品,顿顿
柯***,2,666,1679541059,蓝莓浆/蔓越浆,饮品,顿顿
S***,2,顿顿，广州那里可以抓到你,1679541060,蓝莓浆/蔓越浆,饮品,顿顿
婷***,0,我都是直接喝，一瓶喝五口,1679541061,蓝莓浆/蔓越浆,饮品,顿顿
用***,0,蓝莓汁超好喝[赞][赞],1679541061,蓝莓浆/蔓越浆,饮品,顿顿
杰***,1,今天有烤肠吗,1679541063,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,喜欢顿顿,1679541064,蓝莓浆/蔓越浆,饮品,顿顿
哈***,2,绝了,1679541065,蓝莓浆/蔓越浆,饮品,顿顿
🌈***,2,拍手 哈哈哈,1679541065,蓝莓浆/蔓越浆,饮品,顿顿
C***,0,金风玉露一相逢 便胜却人间无数,1679541065,蓝莓浆/蔓越浆,饮品,顿顿
Y***,2,直接喝，没问题,1679541066,蓝莓浆/蔓越浆,饮品,顿顿
果***,2,哈哈哈哈哈哈,1679541067,蓝莓浆/蔓越浆,饮品,顿顿
欣***,2,和无糖酸奶搅拌一起！,1679541068,蓝莓浆/蔓越浆,饮品,顿顿
丫***,2,想看你做家常菜,1679541068,蓝莓浆/蔓越浆,饮品,顿顿
a***,2,[捂脸],1679541069,蓝莓浆/蔓越浆,饮品,顿顿
大***,2,好喝,1679541070,蓝莓浆/蔓越浆,饮品,顿顿
全***,1,哈哈哈,1679541070,蓝莓浆/蔓越浆,饮品,顿顿
梨***,2,[赞][赞][赞][赞][赞][赞][赞][赞][赞],1679541070,蓝莓浆/蔓越浆,饮品,顿顿
孤***,1,哈哈，说实话了,1679541072,蓝莓浆/蔓越浆,饮品,顿顿
包***,2,哈哈,1679541072,蓝莓浆/蔓越浆,饮品,顿顿
1***,0,哈哈哈哈哈 嘴瓢了,1679541072,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679541073,蓝莓浆/蔓越浆,饮品,顿顿
野***,2,哈哈哈哈哈哈哈,1679541073,蓝莓浆/蔓越浆,饮品,顿顿
憨***,2,哈哈哈,1679541073,蓝莓浆/蔓越浆,饮品,顿顿
幸***,0,哈哈哈哈哈哈哈,1679541073,蓝莓浆/蔓越浆,饮品,顿顿
6***,1,6669666,1679541073,蓝莓浆/蔓越浆,饮品,顿顿
微***,2,顿顿  哈哈哈哈哈,1679541074,蓝莓浆/蔓越浆,饮品,顿顿
大***,2,瓶子回收吗？[捂脸],1679541075,蓝莓浆/蔓越浆,饮品,顿顿
爱***,0,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],1679541075,蓝莓浆/蔓越浆,饮品,顿顿
懒***,2,哈哈😆,1679541077,蓝莓浆/蔓越浆,饮品,顿顿
3***,0,[泪奔][泪奔][泪奔],1679541077,蓝莓浆/蔓越浆,饮品,顿顿
一***,0,巨巨巨好喝,1679541077,蓝莓浆/蔓越浆,饮品,顿顿
卿***,2,哈哈哈哈,1679541077,蓝莓浆/蔓越浆,饮品,顿顿
波***,0,我就是直接喝，那酸爽！牙都掉了几颗,1679541078,蓝莓浆/蔓越浆,饮品,顿顿
l***,2,哈哈哈，一不小心说了实话[呲牙],1679541078,蓝莓浆/蔓越浆,饮品,顿顿
用***,0,也好喝,1679541080,蓝莓浆/蔓越浆,饮品,顿顿
猪***,0,说出了实话,1679541081,蓝莓浆/蔓越浆,饮品,顿顿
野***,2,哈哈哈哈哈哈哈哈哈,1679541081,蓝莓浆/蔓越浆,饮品,顿顿
诺***,2,哈哈哈,1679541083,蓝莓浆/蔓越浆,饮品,顿顿
简***,2,[赞][赞][赞],1679541083,蓝莓浆/蔓越浆,饮品,顿顿
7***,0,看起来想工费吃蓝莓的必须会背诗,1679541084,蓝莓浆/蔓越浆,饮品,顿顿
用***,0,你这么说也是没有人能拒绝,1679541084,蓝莓浆/蔓越浆,饮品,顿顿
蝴***,2,两个原浆我都喜欢一口喝，就爱这种酸爽,1679541085,蓝莓浆/蔓越浆,饮品,顿顿
我***,1,顿顿加油[比心][比心][比心],1679541085,蓝莓浆/蔓越浆,饮品,顿顿
爱***,2,蓝莓原浆那叫一个酸爽,1679541086,蓝莓浆/蔓越浆,饮品,顿顿
❤***,2,一不小心说了大实话,1679541088,蓝莓浆/蔓越浆,饮品,顿顿
夏***,0,上午好,1679541088,蓝莓浆/蔓越浆,饮品,顿顿
简***,2,[赞][赞][赞],1679541088,蓝莓浆/蔓越浆,饮品,顿顿
梨***,2,中午好,1679541088,蓝莓浆/蔓越浆,饮品,顿顿
老***,0,顿顿到广州穿短袖就可以了,1679541090,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,保质期多久,1679541090,蓝莓浆/蔓越浆,饮品,顿顿
万***,0,有没有养生虾,1679541092,蓝莓浆/蔓越浆,饮品,顿顿
简***,2,[赞][赞][赞],1679541093,蓝莓浆/蔓越浆,饮品,顿顿
星***,2,顿和谁一起出发,1679541093,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,大家有需要的品在小黄车里找下，都已经开价，具体咨询链接或者详情可以左下角客服哈,1679541094,蓝莓浆/蔓越浆,饮品,顿顿
乖***,2,保护眼睛,1679541097,蓝莓浆/蔓越浆,饮品,顿顿
简***,2,[赞][赞][赞],1679541098,蓝莓浆/蔓越浆,饮品,顿顿
微***,2,顿顿是在反向销售了嘛 [呲牙][呲牙][呲牙][呲牙],1679541098,蓝莓浆/蔓越浆,饮品,顿顿
福***,0,顿顿 什么时候会有挎包啊,1679541099,蓝莓浆/蔓越浆,饮品,顿顿
万***,0,有没有虾,1679541100,蓝莓浆/蔓越浆,饮品,顿顿
s***,2,你在说功效[捂脸],1679541101,蓝莓浆/蔓越浆,饮品,顿顿
C***,0,东方甄选啥时候出酸奶,1679541102,蓝莓浆/蔓越浆,饮品,顿顿
全***,1,然后呢,1679541102,蓝莓浆/蔓越浆,饮品,顿顿
憨***,2,有好处就喝,1679541102,蓝莓浆/蔓越浆,饮品,顿顿
❤***,0,哈哈哈哈,1679541103,蓝莓浆/蔓越浆,饮品,顿顿
J***,1,这个帅锅是谁[呲牙],1679541103,蓝莓浆/蔓越浆,饮品,顿顿
吃***,2,中午好,1679541103,蓝莓浆/蔓越浆,饮品,顿顿
欣***,2,和无糖酸奶搅拌一起 很好喝,1679541104,蓝莓浆/蔓越浆,饮品,顿顿
幸***,0,我要被顿顿笑死了[捂脸][捂脸][捂脸],1679541104,蓝莓浆/蔓越浆,饮品,顿顿
用***,0,好喜欢顿顿,1679541104,蓝莓浆/蔓越浆,饮品,顿顿
y***,2,哈哈哈！没有然后……,1679541105,蓝莓浆/蔓越浆,饮品,顿顿
春***,1,中午好,1679541107,蓝莓浆/蔓越浆,饮品,顿顿
婷***,0,我都是直接喝,1679541108,蓝莓浆/蔓越浆,饮品,顿顿
桢***,2,懂了懂了,1679541108,蓝莓浆/蔓越浆,饮品,顿顿
姜***,0,没有然后啊，顿顿[呲牙][呲牙][呲牙],1679541109,蓝莓浆/蔓越浆,饮品,顿顿
随***,2,要说然后,1679541109,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,保质期,1679541110,蓝莓浆/蔓越浆,饮品,顿顿
宅***,0,喝完记得弄点水把瓶子摇一摇,1679541112,蓝莓浆/蔓越浆,饮品,顿顿
m***,2,berry,1679541112,蓝莓浆/蔓越浆,饮品,顿顿
🌞***,2,配酸奶很好吃啊,1679541113,蓝莓浆/蔓越浆,饮品,顿顿
少***,2,berry,1679541113,蓝莓浆/蔓越浆,饮品,顿顿
落***,2,顿顿，记得带剃须刀，防晒,1679541114,蓝莓浆/蔓越浆,饮品,顿顿
l***,2,VC可以提高免疫力,1679541115,蓝莓浆/蔓越浆,饮品,顿顿
敏***,2,berry,1679541115,蓝莓浆/蔓越浆,饮品,顿顿
嘟***,0,berry,1679541115,蓝莓浆/蔓越浆,饮品,顿顿
H***,2,一部小说，说实话了[捂脸][捂脸],1679541116,蓝莓浆/蔓越浆,饮品,顿顿
君***,2,蔓越莓女孩子多喝好的,1679541117,蓝莓浆/蔓越浆,饮品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679541120,蓝莓浆/蔓越浆,饮品,顿顿
杨***,2,上午好,1679541122,蓝莓浆/蔓越浆,饮品,顿顿
用***,0,好东西！,1679541122,蓝莓浆/蔓越浆,饮品,顿顿
小***,2,哈哈，反正就是好[捂脸][捂脸][捂脸][捂脸],1679541122,蓝莓浆/蔓越浆,饮品,顿顿
宅***,0,花青素英语怎么说呀,1679541125,蓝莓浆/蔓越浆,饮品,顿顿
y***,2,顿顿在边缘试探,1679541127,蓝莓浆/蔓越浆,饮品,顿顿
兰***,0,这个原浆喝了 身体感受立现！持续喝 效果杠杠滴[赞][赞][赞],1679541128,蓝莓浆/蔓越浆,饮品,顿顿
三***,2,就喜欢这种   随口就来的知识,1679541129,蓝莓浆/蔓越浆,饮品,顿顿
小***,1,咖啡,1679541130,蓝莓浆/蔓越浆,饮品,顿顿
沈***,1,[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙],1679541131,蓝莓浆/蔓越浆,饮品,顿顿
落***,2,记得带防晒和剃须刀,1679541132,牛奶,饮品,顿顿
P***,2,牛肉干还没有吗,1679541133,牛奶,饮品,顿顿
亮***,2,呦，顿顿靓仔上播了,1679541135,牛奶,饮品,顿顿
一***,0,考试吧这个我会[呲牙],1679541137,牛奶,饮品,顿顿
春***,0,还有碱水面包吗,1679541136,牛奶,饮品,顿顿
吃***,2,这个太酸了,1679541137,牛奶,饮品,顿顿
沈***,1,[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙],1679541138,牛奶,饮品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679541139,牛奶,饮品,顿顿
浅***,0,榴莲好嘛？榴莲榴莲,1679541140,牛奶,饮品,顿顿
香***,2,天天忍不住买买买,1679541142,牛奶,饮品,顿顿
恬***,0,喜欢酸的可以直接喝[呲牙],1679541142,牛奶,饮品,顿顿
🐰***,2,舅舅,1679541145,牛奶,饮品,顿顿
微***,2,[赞][赞][赞][赞][赞],1679541147,牛奶,饮品,顿顿
阳***,0,[咖啡][咖啡][咖啡][咖啡][咖啡][咖啡][咖啡][咖啡][咖啡][咖啡][咖啡],1679541150,牛奶,饮品,顿顿
周***,2,现在是顿顿啊[比心],1679541150,牛奶,饮品,顿顿
微***,2,哎哟喂，这是帅气的顿顿啊[呲牙][呲牙][呲牙],1679541151,牛奶,饮品,顿顿
用***,0,番茄还有吗,1679541151,牛奶,饮品,顿顿
宅***,0,这个钙含量多少呀,1679541152,牛奶,饮品,顿顿
奶***,2,中午好,1679541153,牛奶,饮品,顿顿
吃***,2,我们都是泡蜂蜜,1679541153,牛奶,饮品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679541153,牛奶,饮品,顿顿
彩***,1,都当舅舅了,1679541153,牛奶,饮品,顿顿
朱***,0,舅舅我也想喝奶,1679541154,牛奶,饮品,顿顿
小***,2,舅舅，我也要,1679541158,牛奶,饮品,顿顿
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679541161,牛奶,饮品,顿顿
是***,2,顿顿舅舅,1679541161,牛奶,饮品,顿顿
h***,2,顿顿也是舅舅？,1679541161,牛奶,饮品,顿顿
梦***,0,牛奶是便宜,1679541163,牛奶,饮品,顿顿
b***,0,舅舅  我也想喝,1679541163,牛奶,饮品,顿顿
y***,2,顿顿在大号就是病全好的状态,1679541165,牛奶,饮品,顿顿
恬***,0,舅舅我也想喝[泪奔][泪奔][泪奔],1679541165,牛奶,饮品,顿顿
张***,2,我也想要,1679541168,牛奶,饮品,顿顿
伊***,2,景德镇买不了,1679541168,牛奶,饮品,顿顿
朱***,0,舅舅，我也想喝,1679541168,牛奶,饮品,顿顿
不***,2,生产日期是什么时候,1679541169,牛奶,饮品,顿顿
别***,2,舅舅好,1679541169,牛奶,饮品,顿顿
黑***,0,顿顿蓝莓汁不能跟乳制品一起喝，会消化不良,1679541170,牛奶,饮品,顿顿
我***,0,顿顿也是舅舅,1679541172,牛奶,饮品,顿顿
博***,2,不支持,1679541172,牛奶,饮品,顿顿
N***,2,舅舅 我也要,1679541172,牛奶,饮品,顿顿
小***,2,几岁小孩适合？,1679541174,牛奶,饮品,顿顿
周***,0,舅舅，我也要,1679541175,牛奶,饮品,顿顿
Y***,0,低脂不适合小孩子吧,1679541175,牛奶,饮品,顿顿
l***,2,顿顿舅舅我也要喝,1679541175,牛奶,饮品,顿顿
这***,2,买不了,1679541176,牛奶,饮品,顿顿
是***,2,顿顿舅舅我也想要喝奶,1679541177,牛奶,饮品,顿顿
星***,2,东方甄选人均都是舅舅[呲牙],1679541177,牛奶,饮品,顿顿
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679541177,牛奶,饮品,顿顿
幸***,0,哈哈哈哈哈哈哈舅舅买给我吧,1679541177,牛奶,饮品,顿顿
老***,0,上次买了囤在家里还没喝,1679541178,牛奶,饮品,顿顿
温***,2,顺风吗？？？,1679541178,牛奶,饮品,顿顿
豆***,2,哪款大米好吃？,1679541179,牛奶,饮品,顿顿
贝***,2,这周未到广州哪里播？[呲牙],1679541181,牛奶,饮品,顿顿
林***,2,哈哈哈哈，出来好多外甥,1679541181,牛奶,饮品,顿顿
诺***,2,哈哈哈,1679541182,牛奶,饮品,顿顿
杏***,2,舅舅我也要喝,1679541182,牛奶,饮品,顿顿
咖***,1,[赞],1679541183,牛奶,饮品,顿顿
小***,2,舅舅，我也要,1679541184,牛奶,饮品,顿顿
君***,2,顿顿你还缺侄女么[呲牙][呲牙],1679541184,牛奶,饮品,顿顿
喵***,2,杨梅汁有吗,1679541184,牛奶,饮品,顿顿
殷***,2,顿顿什么时候去广东,1679541184,牛奶,饮品,顿顿
在***,0,是纯牛奶吗？,1679541184,牛奶,饮品,顿顿
落***,2,舅舅，我也要牛奶,1679541185,牛奶,饮品,顿顿
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679541185,牛奶,饮品,顿顿
乐***,2,上午好,1679541189,牛奶,饮品,顿顿
恬***,0,舅舅我也想喝[泪奔][泪奔][泪奔],1679541190,牛奶,饮品,顿顿
桢***,2,哈哈哈哈不支持,1679541191,牛奶,饮品,顿顿
东***,0,拍不了可能是附近仓库暂无库存了，可以换个地址试试呢，紧急补货中，请耐心等待哦,1679541191,牛奶,饮品,顿顿
╰***,2,舅舅我也要[泪奔],1679541191,牛奶,饮品,顿顿
晨***,2,舅舅，我也要,1679541195,牛奶,饮品,顿顿
敏***,2,舅舅,1679541196,牛奶,饮品,顿顿
j***,2,保质期呢,1679541196,牛奶,饮品,顿顿
可***,2,顿顿也是舅舅,1679541196,牛奶,饮品,顿顿
工***,2,顿父母舅舅我也要,1679541197,牛奶,饮品,顿顿
莫***,0,舅舅 要喝奶,1679541197,牛奶,饮品,顿顿
少***,2,高高的钙,1679541197,牛奶,饮品,顿顿
泡***,2,日期,1679541198,牛奶,饮品,顿顿
熠***,2,舅舅我也要,1679541199,牛奶,饮品,顿顿
口***,2,外甥女们，快去买。,1679541199,牛奶,饮品,顿顿
小***,0,出来好多外甥,1679541200,牛奶,饮品,顿顿
贝***,2,@不*** 都是近一个月生产的,1679541201,牛奶,饮品,顿顿
爱***,0,蓝莓原浆可以跟酸奶一起,1679541201,牛奶,饮品,顿顿
w***,0,顿顿这次去广州吗,1679541201,牛奶,饮品,顿顿
东***,0,@温*** 物流问题咨询下对应商品左下角客服哈,1679541202,牛奶,饮品,顿顿
用***,0,有锅吗,1679541203,牛奶,饮品,顿顿
金***,0,[捂脸][捂脸][捂脸],1679541203,牛奶,饮品,顿顿
l***,2,顿顿舅舅我也要喝奶,1679541205,牛奶,饮品,顿顿
巧***,1,[赞][赞][赞][赞][赞],1679541205,牛奶,饮品,顿顿
别***,2,哈哈哈哈哈外甥矮个子吗,1679541207,牛奶,饮品,顿顿
小***,2,舅舅，我也要杨梅汁,1679541207,牛奶,饮品,顿顿
泡***,2,日期,1679541207,牛奶,饮品,顿顿
干***,2,哈哈哈哈全是外甥,1679541207,牛奶,饮品,顿顿
小***,0,[赞][赞][赞][赞][赞][赞],1679541209,牛奶,饮品,顿顿
恬***,0,舅舅我也想喝[泪奔][泪奔][泪奔],1679541209,牛奶,饮品,顿顿
黑***,2,[比心][比心],1679541212,牛奶,饮品,顿顿
毛***,1,外甥有点多[呲牙],1679541212,牛奶,饮品,顿顿
j***,2,保质期呢,1679541212,牛奶,饮品,顿顿
寻***,1,舅舅我也要,1679541212,牛奶,饮品,顿顿
平***,1,河南省不发货[泪奔][泪奔],1679541213,牛奶,饮品,顿顿
泡***,2,日期,1679541214,牛奶,饮品,顿顿
星***,2,有没有脱脂的,1679541216,牛奶,饮品,顿顿
西***,2,苏打饼干上了吗？,1679541216,牛奶,饮品,顿顿
😻***,2,舅舅，我也要[捂脸][捂脸],1679541218,牛奶,饮品,顿顿
口***,2,哈哈哈哈哈哈哈哈哈哈哈哈哈哈一直站在前面,1679541218,牛奶,饮品,顿顿
兰***,0,上午好,1679541218,牛奶,饮品,顿顿
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679541219,牛奶,饮品,顿顿
小***,0,拍不了,1679541220,牛奶,饮品,顿顿
X***,2,[捂脸][捂脸][捂脸],1679541220,牛奶,饮品,顿顿
巧***,1,[赞][赞][赞][赞][赞],1679541221,牛奶,饮品,顿顿
梦***,0,牛奶太划算了,1679541221,牛奶,饮品,顿顿
泡***,2,日期，保质期,1679541222,牛奶,饮品,顿顿
随***,2,顿顿好多外甥在直播间[泪奔],1679541222,牛奶,饮品,顿顿
宅***,0,低情商：矮,1679541222,牛奶,饮品,顿顿
贝***,2,@w*** 顿顿去广州,1679541224,牛奶,饮品,顿顿
地***,0,湖南都买不了[捂脸],1679541224,牛奶,饮品,顿顿
菲***,2,顿顿舅舅，我也想喝，给我买[呲牙],1679541224,牛奶,饮品,顿顿
文***,2,出厂日期是什么时间,1679541225,牛奶,饮品,顿顿
╰***,2,舅舅我也要喝[泪奔],1679541227,牛奶,饮品,顿顿
y***,0,枇杷什么时候,1679541227,牛奶,饮品,顿顿
义***,0,上午好,1679541227,牛奶,饮品,顿顿
冰***,2,舅舅我在,1679541228,牛奶,饮品,顿顿
💜***,2,舅舅 我也要,1679541229,牛奶,饮品,顿顿
🌈***,2,保质期多久,1679541230,牛奶,饮品,顿顿
梦***,0,我们卖4.8一盒,1679541231,牛奶,饮品,顿顿
